model,run_id,strategy,parquet_row_count,error_count,silent_null_count,non_null_prediction_count,non_null_prediction_rate,manual_accuracy,top_predicted_letter,top_predicted_letter_pct,unique_predicted_letters_count
alpindale/goliath-120b,1053,latin_squares_25,1125,0,0,1125,1.0,0.3662222222222222,C,0.5395555555555556,5
anthracite-org/magnum-v4-72b,1054,latin_squares_25,1125,0,0,1125,1.0,0.6186666666666667,A,0.39644444444444443,5
gryphe/mythomax-l2-13b,1055,full_120,5400,0,532,4868,0.9014814814814814,0.20398520953163518,A,0.9993837304847987,4
mancer/weaver,1056,latin_squares_25,1125,0,1125,0,0.0,n/a,n/a,n/a,0
mistralai/ministral-3b-2512,1057,full_120,5400,0,5340,60,0.011111111111111112,0.21666666666666667,A,1.0,1
openai/gpt-3.5-turbo,1058,latin_squares_25,1125,0,0,1125,1.0,0.30933333333333335,A,0.296,5
openai/gpt-4-turbo,1059,latin_squares_25,1125,0,886,239,0.21244444444444444,0.9497907949790795,E,0.2384937238493724,5
openai/gpt-4o,1060,latin_squares_25,1125,0,597,528,0.4693333333333333,0.7613636363636364,A,0.44507575757575757,5
openai/gpt-4o-mini,1061,full_120,5400,0,5380,20,0.003703703703703704,1.0,A,0.95,2
qwen/qwen3.6-max-preview,1062,latin_squares_25,1125,1125,0,0,0.0,n/a,n/a,n/a,0
sao10k/l3.3-euryale-70b,1063,latin_squares_25,1125,0,0,1125,1.0,0.5217777777777778,A,0.6142222222222222,5
thedrummer/rocinante-12b,1064,full_120,5400,7,0,5393,0.9987037037037036,0.2581123678842945,C,0.3738179121082885,5
thedrummer/unslopnemo-12b,1065,full_120,5400,40,0,5360,0.9925925925925926,0.26361940298507464,D,0.3957089552238806,5
undi95/remm-slerp-l2-13b,1066,full_120,5400,0,2477,2923,0.5412962962962963,0.19466301744782757,A,1.0,1
